seed,representation,pointing_hit_percent,box_overlap_energy,box_region_only_retention_percent,box_masked_retention_percent
202601,Base,68.38672,0.491644,83.094612,30.852128
202602,Base,66.877106,0.485093,83.071454,32.53007
202603,Base,67.131846,0.496644,81.796831,32.014528
202604,Base,65.832214,0.49028,84.096013,30.699138
202605,Base,68.085698,0.501164,84.099081,32.83523
202606,Base,66.657099,0.500901,83.248602,31.76249
202607,Base,68.056812,0.484438,83.316332,31.154606
202608,Base,67.332388,0.491363,83.014149,31.973538
202609,Base,67.526672,0.492028,82.310998,31.959407
202610,Base,68.113445,0.486446,82.951928,32.218865
202601,ECA,71.913049,0.533228,85.980293,27.304794
202602,ECA,73.770081,0.539699,87.218716,28.156001
202603,ECA,73.303792,0.537482,86.908695,26.461423
202604,ECA,72.183474,0.539067,86.905762,27.165628
202605,ECA,72.547915,0.543738,87.355115,28.720563
202606,ECA,73.460667,0.527698,85.963094,27.589557
202607,ECA,73.003976,0.52988,86.751164,27.352151
202608,ECA,71.759681,0.545946,85.871713,27.307974
202609,ECA,72.628769,0.54052,85.715499,27.363954
202610,ECA,73.428596,0.542741,86.329948,27.577954
202601,CBAM,80.511905,0.625823,89.823971,21.796542
202602,CBAM,79.571287,0.621002,90.428197,21.272977
202603,CBAM,80.841713,0.620472,90.626342,21.932668
202604,CBAM,80.082779,0.628438,90.798303,22.202586
202605,CBAM,80.879319,0.619449,91.063893,21.970693
202606,CBAM,80.227308,0.629329,89.615202,22.81085
202607,CBAM,81.528461,0.62522,90.630944,21.537934
202608,CBAM,80.495208,0.629311,90.039139,21.600865
202609,CBAM,81.45013,0.62668,90.962485,22.527142
202610,CBAM,80.411889,0.614275,90.011525,21.347743
