seed,candidate_variant
202601,LR_unweighted
202601,LR_weighted
202601,SVM_unweighted
202601,SVM_weighted
202601,KNN
202601,DT
202601,RF
202601,CatBoost
202602,LR_unweighted
202602,LR_weighted
202602,SVM_unweighted
202602,SVM_weighted
202602,KNN
202602,DT
202602,RF
202602,CatBoost
202603,LR_unweighted
202603,LR_weighted
202603,SVM_unweighted
202603,SVM_weighted
202603,KNN
202603,DT
202603,RF
202603,CatBoost
202604,LR_unweighted
202604,LR_weighted
202604,SVM_unweighted
202604,SVM_weighted
202604,KNN
202604,DT
202604,RF
202604,CatBoost
202605,LR_unweighted
202605,LR_weighted
202605,SVM_unweighted
202605,SVM_weighted
202605,KNN
202605,DT
202605,RF
202605,CatBoost
202606,LR_unweighted
202606,LR_weighted
202606,SVM_unweighted
202606,SVM_weighted
202606,KNN
202606,DT
202606,RF
202606,CatBoost
202607,LR_unweighted
202607,LR_weighted
202607,SVM_unweighted
202607,SVM_weighted
202607,KNN
202607,DT
202607,RF
202607,CatBoost
202608,LR_unweighted
202608,LR_weighted
202608,SVM_unweighted
202608,SVM_weighted
202608,KNN
202608,DT
202608,RF
202608,CatBoost
202609,LR_unweighted
202609,LR_weighted
202609,SVM_unweighted
202609,SVM_weighted
202609,KNN
202609,DT
202609,RF
202609,CatBoost
202610,LR_unweighted
202610,LR_weighted
202610,SVM_unweighted
202610,SVM_weighted
202610,KNN
202610,DT
202610,RF
202610,CatBoost
