seed,representation,within_class_distance,between_class_distance,centroid_margin,knn5_purity_percent,fisher_ratio
202601,Base,0.316572,0.383031,0.060864,71.767215,0.343597
202602,Base,0.307963,0.394035,0.056114,71.90549,0.346506
202603,Base,0.314317,0.387403,0.064556,71.656753,0.34621
202604,Base,0.313961,0.385574,0.058181,72.288557,0.331388
202605,Base,0.316555,0.38765,0.060771,71.49974,0.350202
202606,Base,0.317826,0.387476,0.064726,71.888877,0.36393
202607,Base,0.315763,0.390193,0.062211,71.351644,0.342369
202608,Base,0.305598,0.390057,0.063226,71.845927,0.33731
202609,Base,0.315593,0.386023,0.05716,72.489252,0.354745
202610,Base,0.315851,0.388559,0.062191,71.706546,0.343743
202601,ECA,0.302592,0.404326,0.069905,74.005969,0.374369
202602,ECA,0.294353,0.397306,0.071524,74.804459,0.38893
202603,ECA,0.291204,0.401814,0.072064,73.93321,0.386994
202604,ECA,0.295625,0.397641,0.070306,74.252945,0.389676
202605,ECA,0.298733,0.405444,0.073498,73.919527,0.392403
202606,ECA,0.296165,0.398296,0.07312,74.278851,0.392798
202607,ECA,0.292486,0.399556,0.07655,74.813627,0.409399
202608,ECA,0.295531,0.400344,0.071504,74.264941,0.388972
202609,ECA,0.302234,0.404806,0.071844,74.24153,0.382308
202610,ECA,0.301076,0.400468,0.079683,74.084941,0.38415
202601,CBAM,0.266793,0.423484,0.086485,76.900197,0.461915
202602,CBAM,0.270898,0.417317,0.097735,77.316356,0.463906
202603,CBAM,0.270186,0.422268,0.087979,77.730552,0.451503
202604,CBAM,0.267603,0.421368,0.092229,77.383219,0.445601
202605,CBAM,0.275467,0.419326,0.089955,77.435757,0.45046
202606,CBAM,0.271644,0.426802,0.091412,76.956061,0.464069
202607,CBAM,0.270432,0.420871,0.09177,76.923807,0.458666
202608,CBAM,0.276231,0.416353,0.091804,77.590393,0.452891
202609,CBAM,0.271435,0.421949,0.089547,77.495699,0.472469
202610,CBAM,0.269312,0.420261,0.091084,77.367959,0.458519
