dataset,backbone,configuration,imbalance_handling,accuracy_mean,accuracy_sd,precision_mean,precision_sd,recall_mean,recall_sd,macro_f1_mean,macro_f1_sd
IP102,MobileNetV3-Large,Backbone-only,None,70.48,0.34,66.45,0.47,60.15,0.55,61.81,0.52
IP102,MobileNetV3-Large,AIDER-CBAM Softmax,None,72.85,0.28,69.1,0.38,63.35,0.45,64.75,0.43
IP102,MobileNetV3-Large,AIDER-CBAM SVM,Inverse-frequency,73.25,0.25,69.5,0.34,63.9,0.4,65.18,0.38
IP102,EfficientNet-B5,Backbone-only,None,74.63,0.27,70.75,0.37,64,0.43,65.81,0.41
IP102,EfficientNet-B5,AIDER-CBAM Softmax,None,76.5,0.22,73.25,0.31,66.2,0.36,68.05,0.34
IP102,EfficientNet-B5,AIDER-CBAM SVM,Inverse-frequency,77.25,0.2,74.05,0.28,67.05,0.33,68.85,0.31
IP102,EfficientNetV2-M,Backbone-only,None,72.73,0.31,68.49,0.41,63.38,0.48,64.95,0.46
IP102,EfficientNetV2-M,AIDER-CBAM Softmax,None,76.65,0.25,74.2,0.34,68.35,0.39,69.65,0.37
IP102,EfficientNetV2-M,AIDER-CBAM SVM,Inverse-frequency,77.6,0.22,75.2,0.3,69.45,0.34,70.73,0.32
IP102,ConvNeXt-S,Backbone-only,None,76.43,0.22,71.95,0.3,67.25,0.35,68.61,0.33
IP102,ConvNeXt-S,AIDER-CBAM Softmax,None,78.85,0.18,75.25,0.25,70.2,0.3,71.68,0.28
IP102,ConvNeXt-S,AIDER-CBAM SVM,Inverse-frequency,79.35,0.16,75.9,0.23,70.75,0.27,72.25,0.25
IP102,ConvNeXt-B,Backbone-only,None,76.93,0.2,72.65,0.28,67.75,0.32,69.21,0.3
IP102,ConvNeXt-B,AIDER-CBAM Softmax,None,80.13,0.17,76.38,0.24,71.78,0.28,73.15,0.26
IP102,ConvNeXt-B,AIDER-CBAM SVM,Inverse-frequency,81.16,0.15,77.48,0.21,72.83,0.25,74.25,0.23
IP102,Swin-S,Backbone-only,None,76.68,0.23,72.35,0.31,67.55,0.36,69.03,0.34
IP102,Swin-S,AIDER-CBAM Softmax,None,79.43,0.19,75.7,0.26,71.05,0.31,72.28,0.29
IP102,Swin-S,AIDER-CBAM SVM,Inverse-frequency,80.54,0.17,76.95,0.24,72.15,0.28,73.45,0.26
