seed,configuration,training_time_hours,peak_train_gpu_gb,peak_infer_gpu_gb,fp32_neural_footprint_mib,embedding_extraction_ms_mean,embedding_extraction_ms_sd
202601,Backbone-only,6.6331,12.7,1.54,338.4,,
202602,Backbone-only,6.3208,12.7,1.54,338.4,,
202603,Backbone-only,6.4079,12.7,1.54,338.4,,
202604,Backbone-only,6.3966,12.7,1.54,338.4,,
202605,Backbone-only,6.4253,12.7,1.54,338.4,,
202606,Backbone-only,6.6441,12.7,1.54,338.4,,
202607,Backbone-only,6.3819,12.7,1.54,338.4,,
202608,Backbone-only,6.5314,12.7,1.54,338.4,,
202609,Backbone-only,6.5506,12.7,1.54,338.4,,
202610,Backbone-only,6.5082,12.7,1.54,338.4,,
202601,AIDER-CBAM Softmax,7.0372,13.3,1.68,340.3,,
202602,AIDER-CBAM Softmax,7.0639,13.3,1.68,340.3,,
202603,AIDER-CBAM Softmax,7.1556,13.3,1.68,340.3,,
202604,AIDER-CBAM Softmax,7.046,13.3,1.68,340.3,,
202605,AIDER-CBAM Softmax,7.1243,13.3,1.68,340.3,,
202606,AIDER-CBAM Softmax,6.8167,13.3,1.68,340.3,,
202607,AIDER-CBAM Softmax,6.8764,13.3,1.68,340.3,,
202608,AIDER-CBAM Softmax,7.1603,13.3,1.68,340.3,,
202609,AIDER-CBAM Softmax,6.9187,13.3,1.68,340.3,,
202610,AIDER-CBAM Softmax,7.1009,13.3,1.68,340.3,,
202601,AIDER-CBAM SVM,7.1028,13.3,1.68,339.9,5.21,0.09
202602,AIDER-CBAM SVM,6.9914,13.3,1.68,339.9,5.21,0.09
202603,AIDER-CBAM SVM,6.8992,13.3,1.68,339.9,5.21,0.09
202604,AIDER-CBAM SVM,6.8851,13.3,1.68,339.9,5.21,0.09
202605,AIDER-CBAM SVM,6.9748,13.3,1.68,339.9,5.21,0.09
202606,AIDER-CBAM SVM,7.0496,13.3,1.68,339.9,5.21,0.09
202607,AIDER-CBAM SVM,7.0902,13.3,1.68,339.9,5.21,0.09
202608,AIDER-CBAM SVM,7.1948,13.3,1.68,339.9,5.21,0.09
202609,AIDER-CBAM SVM,6.8992,13.3,1.68,339.9,5.21,0.09
202610,AIDER-CBAM SVM,7.2127,13.3,1.68,339.9,5.21,0.09
