seed,representation_objective,decision_model,accuracy,macro_precision,macro_recall,macro_f1
202601,Cross-entropy,Softmax,79.9977,76.3268,71.9249,72.737
202602,Cross-entropy,Softmax,80.2851,76.5547,71.2105,73.5709
202603,Cross-entropy,Softmax,79.9067,75.7924,71.8777,72.8043
202604,Cross-entropy,Softmax,79.9316,76.3761,71.9255,73.4061
202605,Cross-entropy,Softmax,80.3851,76.4097,71.5782,73.0283
202606,Cross-entropy,Softmax,80.1655,76.2924,72.2511,73.1209
202607,Cross-entropy,Softmax,80.3288,76.5305,71.8464,73.3488
202608,Cross-entropy,Softmax,80.2039,76.5959,71.782,73.19
202609,Cross-entropy,Softmax,80.0948,76.6171,71.8604,73.2438
202610,Cross-entropy,Softmax,80.0007,76.3042,71.5433,73.05
202601,Cross-entropy,Unweighted SVM,80.8387,76.9995,71.9221,73.532
202602,Cross-entropy,Unweighted SVM,80.8004,77.2032,71.9761,73.5666
202603,Cross-entropy,Unweighted SVM,80.7643,76.9391,72.2595,73.3876
202604,Cross-entropy,Unweighted SVM,80.9117,77.3745,71.9611,74.0418
202605,Cross-entropy,Unweighted SVM,80.5461,77.4362,72,73.8011
202606,Cross-entropy,Unweighted SVM,80.811,77.0239,71.7751,73.5594
202607,Cross-entropy,Unweighted SVM,80.7534,76.8847,72.0315,73.3746
202608,Cross-entropy,Unweighted SVM,80.8993,76.7551,71.8953,73.8653
202609,Cross-entropy,Unweighted SVM,80.478,76.9893,71.9759,73.4813
202610,Cross-entropy,Unweighted SVM,80.9972,76.8946,72.7034,73.2903
202601,CE + SupCon,Softmax,80.6996,76.5928,72.2632,73.5866
202602,CE + SupCon,Softmax,80.499,76.7801,72.2473,74.0903
202603,CE + SupCon,Softmax,80.4061,77.1813,73.0757,73.7152
202604,CE + SupCon,Softmax,80.8097,77.2438,72.5525,73.9864
202605,CE + SupCon,Softmax,80.3915,77.0108,72.8895,74.0609
202606,CE + SupCon,Softmax,80.8481,77.0659,72.8717,73.9111
202607,CE + SupCon,Softmax,80.3863,76.6113,72.4903,73.654
202608,CE + SupCon,Softmax,80.7193,76.9251,72.7001,73.9599
202609,CE + SupCon,Softmax,80.7263,76.7842,72.755,73.8833
202610,CE + SupCon,Softmax,80.7142,77.1047,72.5548,74.4523
202601,CE + SupCon,Unweighted SVM,80.6557,77.3047,72.7128,74.0753
202602,CE + SupCon,Unweighted SVM,80.8251,76.7419,72.9828,74.3888
202603,CE + SupCon,Unweighted SVM,80.9773,77.3559,72.4874,74.0739
202604,CE + SupCon,Unweighted SVM,81.2561,77.2553,72.9406,74.416
202605,CE + SupCon,Unweighted SVM,81.0005,77.3805,72.534,73.9326
202606,CE + SupCon,Unweighted SVM,80.9381,77.1787,73.3399,73.7811
202607,CE + SupCon,Unweighted SVM,80.789,77.3725,72.8656,74.1336
202608,CE + SupCon,Unweighted SVM,80.8441,77.4642,72.9511,74.0011
202609,CE + SupCon,Unweighted SVM,80.8512,77.1292,73.0387,74.334
202610,CE + SupCon,Unweighted SVM,80.9631,77.4171,72.9472,74.4636
