seed,backbone,route,accuracy,macro_f1
202601,EfficientNetV2-M,Softmax CE,76.3585,69.9818
202601,EfficientNetV2-M,Unweighted frozen SVM,76.9885,70.1218
202602,EfficientNetV2-M,Softmax CE,76.8567,69.129
202602,EfficientNetV2-M,Unweighted frozen SVM,77.4767,69.389
202603,EfficientNetV2-M,Softmax CE,76.7548,69.5363
202603,EfficientNetV2-M,Unweighted frozen SVM,76.9448,69.9763
202604,EfficientNetV2-M,Softmax CE,76.9149,69.7679
202604,EfficientNetV2-M,Unweighted frozen SVM,77.4549,70.3879
202605,EfficientNetV2-M,Softmax CE,76.7641,69.346
202605,EfficientNetV2-M,Unweighted frozen SVM,77.3041,70.156
202606,EfficientNetV2-M,Softmax CE,76.0756,69.1472
202606,EfficientNetV2-M,Unweighted frozen SVM,76.8856,69.6872
202607,EfficientNetV2-M,Softmax CE,76.7349,70.2874
202607,EfficientNetV2-M,Unweighted frozen SVM,77.4949,70.3774
202608,EfficientNetV2-M,Softmax CE,76.6799,69.7701
202608,EfficientNetV2-M,Unweighted frozen SVM,77.2999,70.0001
202609,EfficientNetV2-M,Softmax CE,76.6614,69.644
202609,EfficientNetV2-M,Unweighted frozen SVM,77.2914,70.384
202610,EfficientNetV2-M,Softmax CE,76.6993,69.8903
202610,EfficientNetV2-M,Unweighted frozen SVM,77.0793,70.4103
202601,ConvNeXt-B,Softmax CE,80.0632,73.2493
202601,ConvNeXt-B,Unweighted frozen SVM,80.7532,73.6593
202602,ConvNeXt-B,Softmax CE,79.9405,73.3188
202602,ConvNeXt-B,Unweighted frozen SVM,80.6605,73.3588
202603,ConvNeXt-B,Softmax CE,80.0852,73.2443
202603,ConvNeXt-B,Unweighted frozen SVM,80.5952,73.8843
202604,ConvNeXt-B,Softmax CE,80.3929,72.9024
202604,ConvNeXt-B,Unweighted frozen SVM,80.9929,73.6024
202605,ConvNeXt-B,Softmax CE,80.4162,73.3043
202605,ConvNeXt-B,Unweighted frozen SVM,80.8962,73.7143
202606,ConvNeXt-B,Softmax CE,80.0829,72.8259
202606,ConvNeXt-B,Unweighted frozen SVM,80.6829,73.1359
202607,ConvNeXt-B,Softmax CE,79.9906,73.4869
202607,ConvNeXt-B,Unweighted frozen SVM,80.5806,73.8769
202608,ConvNeXt-B,Softmax CE,80.2773,72.8219
202608,ConvNeXt-B,Unweighted frozen SVM,80.8873,73.4919
202609,ConvNeXt-B,Softmax CE,79.9983,73.446
202609,ConvNeXt-B,Unweighted frozen SVM,80.7283,73.756
202610,ConvNeXt-B,Softmax CE,80.0529,72.9003
202610,ConvNeXt-B,Unweighted frozen SVM,81.0229,73.4103
