seed,representation,decision_model,class_weighting,accuracy,macro_f1
202601,Base,Softmax CE,None,73.1815,63.9426
202602,Base,Softmax CE,None,72.3171,65.0879
202603,Base,Softmax CE,None,72.8325,65.6712
202604,Base,Softmax CE,None,72.5176,65.0419
202605,Base,Softmax CE,None,72.961,65.2493
202606,Base,Softmax CE,None,72.5147,65.0817
202607,Base,Softmax CE,None,72.6172,64.5875
202608,Base,Softmax CE,None,72.7571,64.6944
202609,Base,Softmax CE,None,72.4058,65.0056
202610,Base,Softmax CE,None,73.1955,65.138
202601,Base,Softmax CE,Inverse-frequency,72.2951,65.5139
202602,Base,Softmax CE,Inverse-frequency,72.2238,66.0146
202603,Base,Softmax CE,Inverse-frequency,73.0938,66.1163
202604,Base,Softmax CE,Inverse-frequency,72.0501,65.4288
202605,Base,Softmax CE,Inverse-frequency,72.7425,64.5937
202606,Base,Softmax CE,Inverse-frequency,72.3532,65.8156
202607,Base,Softmax CE,Inverse-frequency,72.6936,65.7208
202608,Base,Softmax CE,Inverse-frequency,72.0317,65.9938
202609,Base,Softmax CE,Inverse-frequency,72.4249,65.0671
202610,Base,Softmax CE,Inverse-frequency,72.4912,65.5356
202601,Base,LR,None,72.3392,63.992
202602,Base,LR,None,71.8245,63.5999
202603,Base,LR,None,72.4367,63.885
202604,Base,LR,None,71.5135,63.1256
202605,Base,LR,None,71.8053,63.8094
202606,Base,LR,None,72.356,64.1452
202607,Base,LR,None,72.2835,62.846
202608,Base,LR,None,72.0025,64.2463
202609,Base,LR,None,72.2361,63.6701
202610,Base,LR,None,72.0027,63.4804
202601,Base,LR,Inverse-frequency,72.1382,63.3273
202602,Base,LR,Inverse-frequency,71.5427,64.0959
202603,Base,LR,Inverse-frequency,71.9002,64.3884
202604,Base,LR,Inverse-frequency,72.0639,64.6265
202605,Base,LR,Inverse-frequency,71.86,64.4927
202606,Base,LR,Inverse-frequency,71.6565,64.2764
202607,Base,LR,Inverse-frequency,72.269,63.518
202608,Base,LR,Inverse-frequency,71.6516,63.7209
202609,Base,LR,Inverse-frequency,71.2226,63.8363
202610,Base,LR,Inverse-frequency,71.8954,63.9176
202601,Base,Linear SVM,None,72.69,65.0655
202602,Base,Linear SVM,None,73.0418,64.9605
202603,Base,Linear SVM,None,73.0841,65.6976
202604,Base,Linear SVM,None,72.9044,65.2415
202605,Base,Linear SVM,None,73.2079,65.8493
202606,Base,Linear SVM,None,73.3719,65.0349
202607,Base,Linear SVM,None,72.3481,64.5406
202608,Base,Linear SVM,None,73.1868,64.7061
202609,Base,Linear SVM,None,73.0188,65.5167
202610,Base,Linear SVM,None,73.0462,65.3872
202601,Base,Linear SVM,Inverse-frequency,72.8635,66.0327
202602,Base,Linear SVM,Inverse-frequency,73.0754,65.5719
202603,Base,Linear SVM,Inverse-frequency,73.2579,66.7322
202604,Base,Linear SVM,Inverse-frequency,73.2549,65.5265
202605,Base,Linear SVM,Inverse-frequency,73.1941,65.2829
202606,Base,Linear SVM,Inverse-frequency,73.7923,65.7012
202607,Base,Linear SVM,Inverse-frequency,73.2733,65.6927
202608,Base,Linear SVM,Inverse-frequency,73.6504,65.817
202609,Base,Linear SVM,Inverse-frequency,73.1154,65.6758
202610,Base,Linear SVM,Inverse-frequency,73.5228,65.4672
202601,ECA,Softmax CE,None,75.1656,67.0755
202602,ECA,Softmax CE,None,75.3902,67.4034
202603,ECA,Softmax CE,None,74.8449,67.1637
202604,ECA,Softmax CE,None,74.9778,68.1795
202605,ECA,Softmax CE,None,74.9132,67.9442
202606,ECA,Softmax CE,None,75.4695,67.5794
202607,ECA,Softmax CE,None,74.5543,67.1469
202608,ECA,Softmax CE,None,74.7187,67.2653
202609,ECA,Softmax CE,None,74.8261,66.7887
202610,ECA,Softmax CE,None,74.8397,67.8534
202601,ECA,Softmax CE,Inverse-frequency,74.7428,68.1988
202602,ECA,Softmax CE,Inverse-frequency,74.3682,67.7562
202603,ECA,Softmax CE,Inverse-frequency,74.7434,67.5857
202604,ECA,Softmax CE,Inverse-frequency,74.3016,68.6806
202605,ECA,Softmax CE,Inverse-frequency,75.1387,68.2713
202606,ECA,Softmax CE,Inverse-frequency,74.6108,68.9827
202607,ECA,Softmax CE,Inverse-frequency,74.2695,68.3123
202608,ECA,Softmax CE,Inverse-frequency,74.4636,67.8134
202609,ECA,Softmax CE,Inverse-frequency,74.1679,67.8339
202610,ECA,Softmax CE,Inverse-frequency,74.7934,68.3651
202601,ECA,LR,None,74.1606,65.8347
202602,ECA,LR,None,74.6469,65.7189
202603,ECA,LR,None,74.5485,66.0426
202604,ECA,LR,None,74.4786,67.0689
202605,ECA,LR,None,74.6264,66.2287
202606,ECA,LR,None,74.0154,66.421
202607,ECA,LR,None,74.2282,66.3975
202608,ECA,LR,None,74.0912,65.6562
202609,ECA,LR,None,73.9892,66.4136
202610,ECA,LR,None,73.9149,66.318
202601,ECA,LR,Inverse-frequency,74.3478,65.6957
202602,ECA,LR,Inverse-frequency,74.139,66.7845
202603,ECA,LR,Inverse-frequency,74.0703,66.6892
202604,ECA,LR,Inverse-frequency,73.6816,66.7082
202605,ECA,LR,Inverse-frequency,74.4847,66.6904
202606,ECA,LR,Inverse-frequency,73.7962,66.4592
202607,ECA,LR,Inverse-frequency,73.7163,66.8906
202608,ECA,LR,Inverse-frequency,74.0765,65.9829
202609,ECA,LR,Inverse-frequency,74.2735,66.7088
202610,ECA,LR,Inverse-frequency,73.7141,66.9905
202601,ECA,Linear SVM,None,75.6806,68.0822
202602,ECA,Linear SVM,None,75.0259,67.0388
202603,ECA,Linear SVM,None,75.2737,68.3545
202604,ECA,Linear SVM,None,75.7115,67.9228
202605,ECA,Linear SVM,None,75.1258,68.1161
202606,ECA,Linear SVM,None,75.6514,67.521
202607,ECA,Linear SVM,None,75.5909,67.7955
202608,ECA,Linear SVM,None,75.0843,67.9911
202609,ECA,Linear SVM,None,75.286,67.3919
202610,ECA,Linear SVM,None,75.1698,67.8862
202601,ECA,Linear SVM,Inverse-frequency,75.8149,68.9627
202602,ECA,Linear SVM,Inverse-frequency,75.9942,68.29
202603,ECA,Linear SVM,Inverse-frequency,75.6931,68.4748
202604,ECA,Linear SVM,Inverse-frequency,75.1946,67.8958
202605,ECA,Linear SVM,Inverse-frequency,75.6922,68.7966
202606,ECA,Linear SVM,Inverse-frequency,75.4638,67.8355
202607,ECA,Linear SVM,Inverse-frequency,75.7185,68.6975
202608,ECA,Linear SVM,Inverse-frequency,75.8427,68.7083
202609,ECA,Linear SVM,Inverse-frequency,75.8908,68.3728
202610,ECA,Linear SVM,Inverse-frequency,76.0952,68.1659
202601,CBAM,Softmax CE,None,76.549,70.0988
202602,CBAM,Softmax CE,None,76.6196,69.5013
202603,CBAM,Softmax CE,None,76.3374,70.2701
202604,CBAM,Softmax CE,None,77.1043,69.2046
202605,CBAM,Softmax CE,None,76.8246,69.8932
202606,CBAM,Softmax CE,None,76.9739,69.6613
202607,CBAM,Softmax CE,None,76.4727,69.1409
202608,CBAM,Softmax CE,None,76.6002,69.8231
202609,CBAM,Softmax CE,None,76.6474,69.4516
202610,CBAM,Softmax CE,None,76.371,69.4552
202601,CBAM,Softmax CE,Inverse-frequency,76.1209,69.9722
202602,CBAM,Softmax CE,Inverse-frequency,76.1367,69.8134
202603,CBAM,Softmax CE,Inverse-frequency,76.684,70.231
202604,CBAM,Softmax CE,Inverse-frequency,75.9718,70.7211
202605,CBAM,Softmax CE,Inverse-frequency,76.6814,70.8337
