seed,object_size,representation,accuracy,macro_f1
202601,Small,Base,69.675,59.3457
202602,Small,Base,70.2076,59.5822
202603,Small,Base,69.305,58.6126
202604,Small,Base,69.9363,58.4358
202605,Small,Base,69.2835,57.9095
202606,Small,Base,68.8622,58.2027
202607,Small,Base,69.2773,59.0791
202608,Small,Base,69.518,58.8926
202609,Small,Base,68.9831,58.8514
202610,Small,Base,69.152,58.0885
202601,Small,ECA,72.0867,60.7392
202602,Small,ECA,72.228,61.306
202603,Small,ECA,72.0568,60.5424
202604,Small,ECA,71.6576,60.6707
202605,Small,ECA,71.3956,60.9005
202606,Small,ECA,72.3598,61.6427
202607,Small,ECA,71.7917,62.1091
202608,Small,ECA,72.248,60.5874
202609,Small,ECA,71.9852,61.2321
202610,Small,ECA,72.7906,61.4701
202601,Small,CBAM,74.6253,64.0315
202602,Small,CBAM,74.7932,63.4129
202603,Small,CBAM,74.8851,64.3304
202604,Small,CBAM,74.9032,64.2443
202605,Small,CBAM,75.3778,64.6184
202606,Small,CBAM,75.4665,63.6965
202607,Small,CBAM,74.4232,64.7281
202608,Small,CBAM,74.6577,63.6136
202609,Small,CBAM,75.0653,64.7931
202610,Small,CBAM,75.4028,64.0312
202601,Medium,Base,77.1441,67.3327
202602,Medium,Base,77.1001,66.9674
202603,Medium,Base,77.9232,66.6051
202604,Medium,Base,77.7987,67.8047
202605,Medium,Base,77.4669,66.433
202606,Medium,Base,77.366,66.2975
202607,Medium,Base,77.8772,66.8825
202608,Medium,Base,77.8793,67.0255
202609,Medium,Base,77.591,67.15
202610,Medium,Base,77.3534,67.0017
202601,Medium,ECA,79.1689,69.3695
202602,Medium,ECA,79.1231,69.5909
202603,Medium,ECA,79.5762,68.7502
202604,Medium,ECA,79.4556,70.0727
202605,Medium,ECA,79.7557,69.3383
202606,Medium,ECA,78.9317,69.5757
202607,Medium,ECA,79.5765,69.6082
202608,Medium,ECA,79.52,70.0175
202609,Medium,ECA,79.0636,69.4848
202610,Medium,ECA,78.9286,68.8922
202601,Medium,CBAM,81.6841,72.0055
202602,Medium,CBAM,81.4532,72.3873
202603,Medium,CBAM,81.7386,72.374
202604,Medium,CBAM,81.1889,72.7565
202605,Medium,CBAM,81.6356,71.9877
202606,Medium,CBAM,81.5692,71.8671
202607,Medium,CBAM,81.896,72.2378
202608,Medium,CBAM,81.0471,72.3798
202609,Medium,CBAM,81.2859,72.0935
202610,Medium,CBAM,81.3016,71.3106
202601,Large,Base,82.5624,72.4178
202602,Large,Base,81.9125,73.0273
202603,Large,Base,82.1337,72.7921
202604,Large,Base,81.9679,72.5527
202605,Large,Base,82.1044,72.7279
202606,Large,Base,82.1617,72.3234
202607,Large,Base,81.7769,72.9903
202608,Large,Base,81.7273,73.6994
202609,Large,Base,81.9885,72.6252
202610,Large,Base,82.4647,72.8439
202601,Large,ECA,83.8756,74.9275
202602,Large,ECA,83.1608,74.5566
202603,Large,ECA,83.6052,74.1402
202604,Large,ECA,83.6229,74.3222
202605,Large,ECA,83.5881,74.1779
202606,Large,ECA,83.1715,74.7092
202607,Large,ECA,83.3706,75.0399
202608,Large,ECA,83.4226,74.8629
202609,Large,ECA,83.6503,74.4192
202610,Large,ECA,83.1323,73.9443
202601,Large,CBAM,85.3922,76.0846
202602,Large,CBAM,84.9752,76.3492
202603,Large,CBAM,84.7305,76.4165
202604,Large,CBAM,85.2209,76.4636
202605,Large,CBAM,85.1362,76.2677
202606,Large,CBAM,84.6421,76.5695
202607,Large,CBAM,84.9237,76.1053
202608,Large,CBAM,84.9265,75.6082
202609,Large,CBAM,85.2114,76.9477
202610,Large,CBAM,85.0412,76.3877
