seed,comparison,delta_accuracy_pp,delta_macro_f1_pp,provenance
202601,MobileNetV3-Large_CBAM-Base,2.39,2.97,Supplementary Tables S3/S4
202602,MobileNetV3-Large_CBAM-Base,2.26,3,Supplementary Tables S3/S4
202603,MobileNetV3-Large_CBAM-Base,2.61,3.32,Supplementary Tables S3/S4
202604,MobileNetV3-Large_CBAM-Base,2.63,3.27,Supplementary Tables S3/S4
202605,MobileNetV3-Large_CBAM-Base,2.25,3.04,Supplementary Tables S3/S4
202606,MobileNetV3-Large_CBAM-Base,2.66,2.58,Supplementary Tables S3/S4
202607,MobileNetV3-Large_CBAM-Base,2.39,3.26,Supplementary Tables S3/S4
202608,MobileNetV3-Large_CBAM-Base,2.23,2.61,Supplementary Tables S3/S4
202609,MobileNetV3-Large_CBAM-Base,2.16,2.64,Supplementary Tables S3/S4
202610,MobileNetV3-Large_CBAM-Base,2.12,2.7,Supplementary Tables S3/S4
202601,EfficientNet-B5_CBAM-Base,1.8,2.38,Supplementary Tables S3/S4
202602,EfficientNet-B5_CBAM-Base,2.04,2.44,Supplementary Tables S3/S4
202603,EfficientNet-B5_CBAM-Base,1.74,2.32,Supplementary Tables S3/S4
202604,EfficientNet-B5_CBAM-Base,1.86,2.14,Supplementary Tables S3/S4
202605,EfficientNet-B5_CBAM-Base,1.9,1.85,Supplementary Tables S3/S4
202606,EfficientNet-B5_CBAM-Base,1.98,1.85,Supplementary Tables S3/S4
202607,EfficientNet-B5_CBAM-Base,1.73,2.37,Supplementary Tables S3/S4
202608,EfficientNet-B5_CBAM-Base,2.22,2.12,Supplementary Tables S3/S4
202609,EfficientNet-B5_CBAM-Base,1.65,2.42,Supplementary Tables S3/S4
202610,EfficientNet-B5_CBAM-Base,1.79,2.52,Supplementary Tables S3/S4
202601,EfficientNetV2-M_CBAM-Base,3.74,4.73,Supplementary Tables S3/S4
202602,EfficientNetV2-M_CBAM-Base,4.15,5.11,Supplementary Tables S3/S4
202603,EfficientNetV2-M_CBAM-Base,3.69,4.56,Supplementary Tables S3/S4
202604,EfficientNetV2-M_CBAM-Base,3.96,5.05,Supplementary Tables S3/S4
202605,EfficientNetV2-M_CBAM-Base,3.96,4.63,Supplementary Tables S3/S4
202606,EfficientNetV2-M_CBAM-Base,3.95,4.17,Supplementary Tables S3/S4
202607,EfficientNetV2-M_CBAM-Base,3.57,4.94,Supplementary Tables S3/S4
202608,EfficientNetV2-M_CBAM-Base,4.08,4.76,Supplementary Tables S3/S4
202609,EfficientNetV2-M_CBAM-Base,4.29,4.81,Supplementary Tables S3/S4
202610,EfficientNetV2-M_CBAM-Base,3.82,4.25,Supplementary Tables S3/S4
202601,ConvNeXt-S_CBAM-Base,2.41,3.24,Supplementary Tables S3/S4
202602,ConvNeXt-S_CBAM-Base,2.35,2.95,Supplementary Tables S3/S4
202603,ConvNeXt-S_CBAM-Base,2.72,3.29,Supplementary Tables S3/S4
202604,ConvNeXt-S_CBAM-Base,2.55,2.91,Supplementary Tables S3/S4
202605,ConvNeXt-S_CBAM-Base,2.19,3.08,Supplementary Tables S3/S4
202606,ConvNeXt-S_CBAM-Base,2.55,2.82,Supplementary Tables S3/S4
202607,ConvNeXt-S_CBAM-Base,2.47,2.69,Supplementary Tables S3/S4
202608,ConvNeXt-S_CBAM-Base,2.34,3.17,Supplementary Tables S3/S4
202609,ConvNeXt-S_CBAM-Base,2.39,3.19,Supplementary Tables S3/S4
202610,ConvNeXt-S_CBAM-Base,2.22,3.37,Supplementary Tables S3/S4
202601,ConvNeXt-B_CBAM-Base,3.03,3.87,Supplementary Tables S3/S4
202602,ConvNeXt-B_CBAM-Base,3.16,4.23,Supplementary Tables S3/S4
202603,ConvNeXt-B_CBAM-Base,3.06,3.85,Supplementary Tables S3/S4
202604,ConvNeXt-B_CBAM-Base,3.34,4.1,Supplementary Tables S3/S4
